size,rank,feature,coef
70m,1,attn_ent_L1_H3,-0.618482011097506
70m,2,top1_probability,0.6089071328251203
70m,3,attn_conc_top5_L2_H7,-0.5912039940201584
70m,4,attn_conc_top1_L2_H3,-0.5815670189597554
70m,5,attn_conc_top1_L0_H7,-0.5446187454440059
70m,6,attn_conc_top1_L3_H5,-0.5431198605558021
70m,7,attn_conc_top3_L5_H3,-0.5332514177579727
70m,8,attn_conc_top5_L3_H5,0.48908308425646657
70m,9,attn_conc_top3_L4_H6,-0.48013422433335373
70m,10,attn_conc_top1_L1_H1,-0.4723893348168546
160m,1,attn_conc_top3_L8_H7,-0.3605727027529344
160m,2,attn_conc_top3_L4_H10,-0.33075017836962456
160m,3,attn_conc_top1_L4_H6,-0.3251865170956001
160m,4,attn_conc_top1_L2_H5,-0.32482238118068385
160m,5,attn_conc_top3_L9_H2,-0.31880695586543045
160m,6,attn_conc_top1_L10_H9,-0.3096351258704463
160m,7,attn_conc_top5_L10_H8,-0.309138734888821
160m,8,attn_conc_top1_L5_H0,-0.30341492101981943
160m,9,attn_conc_top5_L3_H8,-0.26474465693578164
160m,10,attn_conc_top1_L3_H3,0.2567226940142293
410m,1,attn_conc_top1_L17_H14,0.29645112871578233
410m,2,attn_conc_top5_L18_H3,0.2561873709592143
410m,3,attn_conc_top3_L18_H3,0.2561873709592143
410m,4,attn_conc_top1_L3_H15,0.23099914946254158
410m,5,attn_conc_top5_L22_H15,-0.19952768809704347
410m,6,attn_conc_top3_L5_H12,0.1970468929991463
410m,7,attn_conc_top5_L5_H12,0.19058194726418248
410m,8,attn_conc_top1_L4_H7,0.18786479813860082
410m,9,attn_conc_top5_L8_H14,0.17556686633553686
410m,10,attn_conc_top5_L23_H15,0.17168423488756268
