size,step,category,parallel_safety_fraction,n_positions
70m,0,function,0.0,56
70m,0,content,0.0,140
70m,0,number,0.0,5
70m,0,punct,0.0,38
70m,0,fragment,0.0,13
70m,1,function,0.0,56
70m,1,content,0.0,140
70m,1,number,0.0,5
70m,1,punct,0.0,38
70m,1,fragment,0.0,13
70m,8,function,0.0,56
70m,8,content,0.0,140
70m,8,number,0.0,5
70m,8,punct,0.0,38
70m,8,fragment,0.0,13
70m,128,function,0.0,56
70m,128,content,0.014285714285714285,140
70m,128,number,0.0,5
70m,128,punct,0.0,38
70m,128,fragment,0.0,13
70m,1000,function,0.0,56
70m,1000,content,0.04285714285714286,140
70m,1000,number,0.0,5
70m,1000,punct,0.0,38
70m,1000,fragment,0.0,13
70m,4000,function,0.0,56
70m,4000,content,0.07142857142857142,140
70m,4000,number,0.0,5
70m,4000,punct,0.0,38
70m,4000,fragment,0.0,13
70m,16000,function,0.017857142857142856,56
70m,16000,content,0.10714285714285714,140
70m,16000,number,0.0,5
70m,16000,punct,0.0,38
70m,16000,fragment,0.0,13
70m,32000,function,0.03571428571428571,56
70m,32000,content,0.07857142857142857,140
70m,32000,number,0.0,5
70m,32000,punct,0.0,38
70m,32000,fragment,0.0,13
70m,64000,function,0.017857142857142856,56
70m,64000,content,0.09285714285714286,140
70m,64000,number,0.0,5
70m,64000,punct,0.0,38
70m,64000,fragment,0.0,13
70m,96000,function,0.0,56
70m,96000,content,0.07142857142857142,140
70m,96000,number,0.0,5
70m,96000,punct,0.0,38
70m,96000,fragment,0.0,13
70m,128000,function,0.017857142857142856,56
70m,128000,content,0.07142857142857142,140
70m,128000,number,0.0,5
70m,128000,punct,0.0,38
70m,128000,fragment,0.07692307692307693,13
70m,143000,function,0.03571428571428571,56
70m,143000,content,0.05,140
70m,143000,number,0.0,5
70m,143000,punct,0.0,38
70m,143000,fragment,0.0,13
160m,0,function,0.0,56
160m,0,content,0.0,140
160m,0,number,0.0,5
160m,0,punct,0.0,38
160m,0,fragment,0.0,13
160m,1,function,0.0,56
160m,1,content,0.0,140
160m,1,number,0.0,5
160m,1,punct,0.0,38
160m,1,fragment,0.0,13
160m,8,function,0.0,56
160m,8,content,0.0,140
160m,8,number,0.0,5
160m,8,punct,0.0,38
160m,8,fragment,0.0,13
160m,128,function,0.0,56
160m,128,content,0.0,140
160m,128,number,0.0,5
160m,128,punct,0.05263157894736842,38
160m,128,fragment,0.0,13
160m,1000,function,0.0,56
160m,1000,content,0.06428571428571428,140
160m,1000,number,0.0,5
160m,1000,punct,0.0,38
160m,1000,fragment,0.0,13
160m,4000,function,0.08928571428571429,56
160m,4000,content,0.08571428571428572,140
160m,4000,number,0.0,5
160m,4000,punct,0.02631578947368421,38
160m,4000,fragment,0.0,13
160m,16000,function,0.017857142857142856,56
160m,16000,content,0.1,140
160m,16000,number,0.0,5
160m,16000,punct,0.02631578947368421,38
160m,16000,fragment,0.0,13
160m,32000,function,0.017857142857142856,56
160m,32000,content,0.11428571428571428,140
160m,32000,number,0.0,5
160m,32000,punct,0.02631578947368421,38
160m,32000,fragment,0.0,13
160m,64000,function,0.03571428571428571,56
160m,64000,content,0.1,140
160m,64000,number,0.0,5
160m,64000,punct,0.0,38
160m,64000,fragment,0.0,13
160m,96000,function,0.05357142857142857,56
160m,96000,content,0.1357142857142857,140
160m,96000,number,0.0,5
160m,96000,punct,0.07894736842105263,38
160m,96000,fragment,0.0,13
160m,128000,function,0.10714285714285714,56
160m,128000,content,0.12142857142857143,140
160m,128000,number,0.0,5
160m,128000,punct,0.07894736842105263,38
160m,128000,fragment,0.0,13
160m,143000,function,0.017857142857142856,56
160m,143000,content,0.07857142857142857,140
160m,143000,number,0.0,5
160m,143000,punct,0.07894736842105263,38
160m,143000,fragment,0.0,13
410m,0,function,0.0,56
410m,0,content,0.0,140
410m,0,number,0.0,5
410m,0,punct,0.0,38
410m,0,fragment,0.0,13
410m,1,function,0.0,56
410m,1,content,0.0,140
410m,1,number,0.0,5
410m,1,punct,0.0,38
410m,1,fragment,0.0,13
410m,8,function,0.4642857142857143,56
410m,8,content,0.38571428571428573,140
410m,8,number,0.6,5
410m,8,punct,0.3684210526315789,38
410m,8,fragment,0.38461538461538464,13
410m,128,function,0.0,56
410m,128,content,0.007142857142857143,140
410m,128,number,0.0,5
410m,128,punct,0.02631578947368421,38
410m,128,fragment,0.0,13
410m,1000,function,0.03571428571428571,56
410m,1000,content,0.04285714285714286,140
410m,1000,number,0.0,5
410m,1000,punct,0.0,38
410m,1000,fragment,0.0,13
410m,4000,function,0.017857142857142856,56
410m,4000,content,0.1,140
410m,4000,number,0.0,5
410m,4000,punct,0.02631578947368421,38
410m,4000,fragment,0.0,13
410m,16000,function,0.10714285714285714,56
410m,16000,content,0.10714285714285714,140
410m,16000,number,0.0,5
410m,16000,punct,0.02631578947368421,38
410m,16000,fragment,0.0,13
410m,32000,function,0.125,56
410m,32000,content,0.14285714285714285,140
410m,32000,number,0.0,5
410m,32000,punct,0.02631578947368421,38
410m,32000,fragment,0.0,13
410m,64000,function,0.07142857142857142,56
410m,64000,content,0.12142857142857143,140
410m,64000,number,0.0,5
410m,64000,punct,0.0,38
410m,64000,fragment,0.0,13
410m,96000,function,0.125,56
410m,96000,content,0.12857142857142856,140
410m,96000,number,0.0,5
410m,96000,punct,0.05263157894736842,38
410m,96000,fragment,0.07692307692307693,13
410m,128000,function,0.10714285714285714,56
410m,128000,content,0.14285714285714285,140
410m,128000,number,0.0,5
410m,128000,punct,0.0,38
410m,128000,fragment,0.0,13
410m,143000,function,0.125,56
410m,143000,content,0.15,140
410m,143000,number,0.0,5
410m,143000,punct,0.0,38
410m,143000,fragment,0.07692307692307693,13
