size,step,layer,hidden_dim,cv_auroc_mean,cv_auroc_std,val_auroc,n_positive,n_total
70m,143000,0,512,0.8083333333333332,0.16064648040547505,0.90625,9,251
70m,143000,1,512,0.83125,0.14258282193557226,1.0,9,251
70m,143000,2,512,0.80625,0.1631929668963845,1.0,9,251
70m,143000,3,512,0.7291666666666666,0.22331545326436025,0.9479166666666667,9,251
70m,143000,4,512,0.7895833333333333,0.1950338289744742,1.0,9,251
70m,143000,5,512,0.7770833333333333,0.19146275384813388,0.9791666666666667,9,251
160m,143000,0,768,0.4465130023640662,0.19701853778871936,0.6312056737588652,15,251
160m,143000,1,768,0.5411052009456265,0.25704695805858685,0.6808510638297872,15,251
160m,143000,2,768,0.5719562647754137,0.12568776693334638,0.624113475177305,15,251
160m,143000,3,768,0.48457446808510635,0.24008663535321495,0.9078014184397163,15,251
160m,143000,4,768,0.743646572104019,0.17232632852157023,0.9078014184397163,15,251
160m,143000,5,768,0.5442671394799055,0.14816024567913097,0.900709219858156,15,251
160m,143000,6,768,0.5002659574468085,0.1921620212014689,0.6808510638297872,15,251
160m,143000,7,768,0.6198877068557919,0.1168571245217291,0.7659574468085106,15,251
160m,143000,8,768,0.741725768321513,0.09237874135911012,0.6950354609929078,15,251
160m,143000,9,768,0.7448581560283689,0.08390178833020065,0.6099290780141844,15,251
160m,143000,10,768,0.7029255319148937,0.1903632008345633,0.6312056737588652,15,251
160m,143000,11,768,0.6936465721040189,0.16236644512990286,0.7801418439716312,15,251
410m,143000,0,1024,0.7012794612794613,0.1350580703130162,0.9431818181818181,29,251
410m,143000,1,1024,0.7385454545454545,0.1178120884929986,0.9507575757575757,29,251
410m,143000,2,1024,0.7056835016835017,0.1271491136291093,0.9015151515151514,29,251
410m,143000,3,1024,0.7117037037037037,0.1752110151145725,0.9318181818181819,29,251
410m,143000,4,1024,0.7363198653198653,0.15165369371199847,0.9848484848484849,29,251
410m,143000,5,1024,0.7658047138047138,0.1098914125391661,0.9772727272727273,29,251
410m,143000,6,1024,0.7827340067340067,0.1104531167910348,0.9659090909090908,29,251
410m,143000,7,1024,0.7945892255892255,0.10231157599993874,0.9734848484848485,29,251
410m,143000,8,1024,0.8505723905723906,0.08914521187498407,0.9696969696969697,29,251
410m,143000,9,1024,0.8393333333333333,0.07723924408256651,0.9696969696969697,29,251
410m,143000,10,1024,0.8522390572390572,0.08644917364730198,0.9772727272727273,29,251
410m,143000,11,1024,0.8405016835016834,0.06621739785720566,0.9810606060606061,29,251
410m,143000,12,1024,0.8570336700336701,0.058473060265123895,0.9848484848484849,29,251
410m,143000,13,1024,0.819057239057239,0.09562788375570437,0.9772727272727273,29,251
410m,143000,14,1024,0.8390875420875421,0.053691672337947416,0.9734848484848485,29,251
410m,143000,15,1024,0.8505286195286195,0.058798830749238404,0.9734848484848485,29,251
410m,143000,16,1024,0.8313434343434343,0.0637455660745425,0.9734848484848485,29,251
410m,143000,17,1024,0.7949191919191919,0.0436994913743034,0.9696969696969697,29,251
410m,143000,18,1024,0.797989898989899,0.06076633185434131,0.9659090909090909,29,251
410m,143000,19,1024,0.7275286195286196,0.08082081156732394,0.9734848484848484,29,251
410m,143000,20,1024,0.75789898989899,0.10969003828762604,0.9810606060606061,29,251
410m,143000,21,1024,0.7718249158249159,0.1387160007920438,0.9507575757575758,29,251
410m,143000,22,1024,0.7859326599326598,0.1287446610437964,0.9659090909090909,29,251
410m,143000,23,1024,0.7691885521885521,0.09318435961118382,0.9659090909090909,29,251
